sample_id,ade,fde,min_ade,min_fde,miss,nll,occupancy_iou,occupancy_soft_iou,occupancy_brier,branch_confidence,branch_correct,branch_brier,branch_entropy,counterfactual_diversity,occlusion_steps,memory_recall,memory_lifetime,memory_drift,scene_consistency,occlusion_persistence,tracked_confidence,tracked_uncertainty,tracked_importance,tracked_age,active_slot_fraction,mean_retention,mean_update
0.0,0.8164565563201904,1.6694538593292236,0.8164565563201904,1.6694538593292236,0.0,15.76657772064209,0.16993464529514313,0.15829165279865265,0.24998842179775238,0.06613656133413315,1.0,0.9302982091903687,2.772019386291504,2.8956117630004883,4.0,0.7142857313156128,7.995072364807129,7.069110870361328e-05,0.9999983906745911,0.9998870491981506,0.00346898240968585,0.9946959614753723,0.004413921386003494,7.975711345672607,1.0,1.0,0.00014803206431679428
1.0,6.213711738586426,11.153748512268066,0.666770339012146,1.5572088956832886,0.0,19.559144973754883,0.28057554364204407,0.1645101010799408,0.24133603274822235,0.06614255160093307,0.0,0.938054084777832,2.7720141410827637,2.9215729236602783,3.0,0.7142857313156128,7.995206832885742,5.996227264404297e-05,0.9999986290931702,0.9998752474784851,0.0032127066515386105,0.995053231716156,0.0040803272277116776,7.976803302764893,1.0,1.0,0.00014213146641850471
2.0,4.022023677825928,7.220877170562744,1.4699878692626953,2.8300862312316895,1.0,23.558700561523438,0.2657342553138733,0.17202351987361908,0.2406526356935501,0.06611780822277069,0.0,0.9414282441139221,2.772033452987671,2.8191535472869873,2.0,0.6666666865348816,7.994575500488281,9.900331497192383e-05,0.9999978542327881,0.9999738931655884,0.004150694236159325,0.9937317371368408,0.0052171628922224045,7.969314098358154,1.0,1.0,0.00016011038678698242
3.0,2.7462716102600098,5.675825595855713,0.5778135061264038,0.7072535753250122,0.0,14.550069808959961,0.15000000596046448,0.16759619116783142,0.25322893261909485,0.06614238023757935,0.0,0.9304372072219849,2.7720110416412354,2.942469835281372,4.0,0.7142857313156128,7.995285511016846,6.157159805297852e-05,0.9999986290931702,0.999904990196228,0.0031408651266247034,0.9951371550559998,0.0040243989787995815,7.9779157638549805,1.0,1.0,0.00014221668243408203
4.0,2.2921438217163086,4.623875617980957,0.4757264256477356,0.7504212856292725,0.0,16.977741241455078,0.32608696818351746,0.17587365210056305,0.2420249581336975,0.06612905859947205,0.0,0.9335465431213379,2.772022247314453,2.8870983123779297,5.0,0.7142857313156128,7.995100021362305,6.866455078125e-05,0.9999983906745911,0.9997930526733398,0.0035318953450769186,0.9946379661560059,0.004476769361644983,7.9756669998168945,1.0,1.0,0.00014843433746136725
5.0,5.430996894836426,10.151263236999512,1.3457826375961304,2.3995630741119385,1.0,23.168615341186523,0.2344827651977539,0.1593245267868042,0.24878062307834625,0.06612782180309296,0.0,0.9414459466934204,2.7720255851745605,2.865711212158203,2.0,0.7142857313156128,7.994715690612793,8.594989776611328e-05,0.999998152256012,0.9999793767929077,0.003843597136437893,0.9941413402557373,0.004832605831325054,7.972074031829834,1.0,1.0,0.00015624934167135507
6.0,3.67238187789917,6.58015775680542,0.2597493529319763,0.3555395305156708,0.0,14.990761756896973,0.23529411852359772,0.18390433490276337,0.24416621029376984,0.06614556163549423,0.0,0.9390491247177124,2.7720022201538086,2.994382858276367,5.0,0.7142857313156128,7.99550724029541,4.649162292480469e-05,0.9999990463256836,0.9997868537902832,0.002753095468506217,0.9957231879234314,0.003497617319226265,7.9795098304748535,1.0,1.0,0.00013184855924919248
7.0,4.966456413269043,9.126425743103027,0.31829833984375,0.2749263048171997,0.0,20.59368896484375,0.17834395170211792,0.17147324979305267,0.2516495883464813,0.06615498661994934,0.0,0.9432284832000732,2.7720093727111816,2.933734893798828,4.0,0.6000000238418579,7.994924068450928,7.021427154541016e-05,0.9999983906745911,0.9998868703842163,0.0032643619924783707,0.9949591159820557,0.00417751120403409,7.976217269897461,1.0,1.0,0.00014786697283852845
8.0,0.6546080112457275,1.8031123876571655,0.6546080112457275,1.8031123876571655,0.0,14.335529327392578,0.22368420660495758,0.17397212982177734,0.24570009112358093,0.06608596444129944,1.0,0.9303955435752869,2.7720510959625244,2.7524538040161133,1.0,0.7142857313156128,7.994017124176025,0.0001462101936340332,0.9999969005584717,0.9999936819076538,0.005098618566989899,0.9924573302268982,0.006352602504193783,7.961141109466553,1.0,1.0,0.0001741262385621667
9.0,2.5537054538726807,4.242993354797363,0.19403772056102753,0.2077183574438095,0.0,17.49028778076172,0.15337423980236053,0.17479154467582703,0.255037397146225,0.06612273305654526,0.0,0.9335182905197144,2.7720301151275635,2.8347902297973633,1.0,0.7142857313156128,7.994102478027344,0.00011605024337768555,0.9999974370002747,0.9999930262565613,0.0041680242866277695,0.9937124252319336,0.005257853306829929,7.964728355407715,1.0,1.0,0.00016405756468884647
