sample_id,ade,fde,min_ade,min_fde,miss,nll,occupancy_iou,occupancy_soft_iou,occupancy_brier,branch_confidence,branch_correct,branch_brier,branch_entropy,counterfactual_diversity,occlusion_steps,memory_recall,memory_lifetime,memory_drift,scene_consistency,occlusion_persistence,tracked_confidence,tracked_uncertainty,tracked_importance,tracked_age,active_slot_fraction,mean_retention,mean_update
0.0,3.085214853286743,5.612358093261719,3.085214853286743,5.612358093261719,1.0,32.21149444580078,0.15060241520404816,0.15701104700565338,0.2581564486026764,1.0,1.0,0.0,-0.0,0.0,4.0,1.0,7.162435531616211,0.3713566064834595,0.9663003087043762,0.9995704293251038,0.012144060805439949,1.0,0.019955186173319817,6.994501113891602,1.0,0.22407230734825134,0.024358712136745453
1.0,4.093311309814453,7.55246639251709,4.093311309814453,7.55246639251709,1.0,40.68296813964844,0.2925170063972473,0.1758839190006256,0.2366616427898407,1.0,1.0,0.0,-0.0,0.0,3.0,1.0,7.144540786743164,0.3708333373069763,0.9665310978889465,0.9997398853302002,0.012212147936224937,1.0,0.02002028189599514,6.976881980895996,1.0,0.2251722663640976,0.024814756587147713
2.0,2.0250625610351562,3.7230288982391357,2.0250625610351562,3.7230288982391357,1.0,26.862585067749023,0.2451612949371338,0.18088825047016144,0.239053413271904,1.0,1.0,0.0,-0.0,0.0,2.0,1.0,7.121309280395508,0.3874439001083374,0.9645941853523254,0.9997913837432861,0.01111595332622528,1.0,0.01821218617260456,6.954044342041016,1.0,0.2275768518447876,0.025525055825710297
3.0,4.477809906005859,8.783232688903809,4.477809906005859,8.783232688903809,1.0,39.73570251464844,0.1807228922843933,0.17417506873607635,0.25301244854927063,1.0,1.0,0.0,-0.0,0.0,4.0,1.0,7.13645601272583,0.37126755714416504,0.966376781463623,0.9997251033782959,0.012225097976624966,1.0,0.020048901438713074,6.969339370727539,1.0,0.22608338296413422,0.025096304714679718
4.0,1.6122825145721436,3.093989849090576,1.6122825145721436,3.093989849090576,1.0,25.926807403564453,0.29139071702957153,0.18802453577518463,0.23666933178901672,1.0,1.0,0.0,-0.0,0.0,5.0,1.0,7.160396575927734,0.3880486488342285,0.9646050930023193,0.9987601041793823,0.012162743136286736,1.0,0.019978195428848267,6.992242813110352,1.0,0.2227538526058197,0.023939259350299835
5.0,3.7490477561950684,7.22383975982666,3.7490477561950684,7.22383975982666,1.0,34.82339859008789,0.2012578547000885,0.15702439844608307,0.2581130564212799,1.0,1.0,0.0,-0.0,0.0,2.0,1.0,7.1001129150390625,0.41036534309387207,0.9620292782783508,0.999839723110199,0.01232907921075821,1.0,0.020199328660964966,6.932976722717285,1.0,0.2277374565601349,0.02566671371459961
6.0,3.0215535163879395,5.546176910400391,3.0215535163879395,5.546176910400391,1.0,31.667593002319336,0.22085890173912048,0.192258819937706,0.24191914498806,1.0,1.0,0.0,-0.0,0.0,5.0,1.0,7.2202043533325195,0.37077856063842773,0.966684103012085,0.9986600875854492,0.011907899752259254,1.0,0.01953360065817833,7.050849437713623,1.0,0.21907584369182587,0.022552359849214554
7.0,2.533594846725464,4.925074100494385,2.533594846725464,4.925074100494385,1.0,29.168067932128906,0.17543859779834747,0.17208197712898254,0.2578682005405426,1.0,1.0,0.0,-0.0,0.0,4.0,1.0,7.218111515045166,0.3712849020957947,0.9666033387184143,0.9994992017745972,0.009454641491174698,1.0,0.015439866110682487,7.0493950843811035,1.0,0.22135990858078003,0.023271633312106133
8.0,2.3442769050598145,5.085726737976074,2.3442769050598145,5.085726737976074,1.0,27.79854393005371,0.28947368264198303,0.18526171147823334,0.24176104366779327,1.0,1.0,0.0,-0.0,0.0,1.0,1.0,7.088258743286133,0.3716205358505249,0.9665555953979492,0.9998612403869629,0.012536460533738136,1.0,0.020575053989887238,6.922035217285156,1.0,0.22909384965896606,0.026112843304872513
9.0,1.3286375999450684,2.2666053771972656,1.3286375999450684,2.2666053771972656,1.0,25.1677188873291,0.14942528307437897,0.176616832613945,0.2602425217628479,1.0,1.0,0.0,-0.0,0.0,1.0,1.0,7.129472732543945,0.41239631175994873,0.9616643190383911,0.9997130632400513,0.01204419694840908,1.0,0.019798392429947853,6.959040641784668,1.0,0.22567008435726166,0.025002148002386093
10.0,3.6097617149353027,6.582047939300537,3.6097617149353027,6.582047939300537,1.0,37.07697296142578,0.16374269127845764,0.1770201176404953,0.25737103819847107,1.0,1.0,0.0,-0.0,0.0,1.0,1.0,7.09782600402832,0.3714737892150879,0.966373085975647,0.9998435974121094,0.012427030131220818,1.0,0.020463332533836365,6.931644439697266,1.0,0.22903868556022644,0.02604590728878975
11.0,4.927165985107422,9.521306037902832,4.927165985107422,9.521306037902832,1.0,43.167938232421875,0.1801242232322693,0.16031691431999207,0.2522776424884796,1.0,1.0,0.0,-0.0,0.0,6.0,1.0,7.185150146484375,0.4131438732147217,0.9620774388313293,0.9928749799728394,0.011969375424087048,1.0,0.019619980826973915,7.0138421058654785,1.0,0.21996591985225677,0.022990714758634567
12.0,3.490091562271118,6.423612117767334,3.490091562271118,6.423612117767334,1.0,35.44580078125,0.26923078298568726,0.19346080720424652,0.23834331333637238,1.0,1.0,0.0,-0.0,0.0,5.0,1.0,7.195864677429199,0.37085986137390137,0.9663072824478149,0.9987326860427856,0.012166975066065788,1.0,0.019957680255174637,7.026628494262695,1.0,0.22024475038051605,0.02306322194635868
